lp_id,payload_name,payload_class,conjugation_class,linker_class,linker_name,raw_site_label,site_resolved,qc_status,payload_anchor_atom,stub_anchor_atom,spacer_atoms,n_stub_atoms,n_payload_atoms,true_linker_size,pattern_stub,anchors_ambiguous,in_cys_trainset,in_multisite_trainset,linker_smiles,payload_smiles,canonical_lp_smiles,stereo_defined,source_type
mmae__mc-val-cit-pab,MMAE,auristatin,cysteine,ValCitPAB,MC-Val-Cit-PAB,cysteine,cysteine,passed,51,46,35,9,51,35,succinimide_thioether_4c,True,True,True,CC(C)[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc2ccc(COC(=O)O)cc2,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)c2ccccc2)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,CC(C)[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)O)cc1.CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)c1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,no,ADCpedia
pnu-159682-derivative__val-cit-pab-oh,PNU-159682 derivative,PBD_anthracycline,lysine,ValCitPAB,Val-cit-PAB-OH,lysine,lysine,passed,52,48,10,31,52,10,amide,False,False,True,CC(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)O)cc1)C(C)C,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc2ccccc2)c3nccs3)OC)N(C)C(=O)[C@@H](NC(=O)C(C)(C)N)C(C)C,CC(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)O)cc1)C(C)C.CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)C(C)(C)N)C(C)C,yes,ADCpedia
a-amanitin__mc-val-cit-pab,a-Amanitin,amatoxin,other,ValCitPAB,MC-Val-Cit-PAB,<EMPTY>,other,flagged,,,,,,,,,False,False,Cc2ccc(NC(=O)[C@H](C)NC(=O)C(NC(=O)CCN1C(=O)CCC1=O)C(C)C)cc2,CC[C@H](C)[C@@H]3NC(=O)CNC(=O)C5C/C1=C([NH2+]c2ccccc12)\SCC(NC(=O)CNC3=O)C(=O)N[C@@H](CC(N)=O)C(=O)N4C[C@H](O)C[C@H]4C(=O)N[C@@H]([C@@H](C)[C@@H](O)CO)C(=O)N5,Cc1ccc(NC(=O)[C@H](C)NC(=O)C(NC(=O)CCN2C(=O)CCC2=O)C(C)C)cc1.CC[C@H](C)[C@@H]1NC(=O)CNC(=O)C2CC3=C([NH2+]c4ccccc43)SCC(NC(=O)CNC1=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H]([C@@H](C)[C@@H](O)CO)C(=O)N2,no,ADCpedia
calicheamicin__mal-amido-peg8-val-gly-pab-oh,Calicheamicin,calicheamicin,cysteine,PEG,Mal-amido-PEG8-val-gly-PAB-OH,cysteine,cysteine,passed,44,43,55,9,44,55,succinimide_thioether_4c,False,True,True,CC(C)[C@H](NC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](C)C(=O)Nc2ccc(COC(=O)O)cc2,[H][C@]56/C=N\c4cc(OCCCCCOc3cc2N[C@@H](O)[C@]1([H])C/C(C)=C\N1C(=O)c2cc3OC)c(OC)cc4C(=O)N5/C=C(C)\C6,CC(C)[C@H](NC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](C)C(=O)Nc1ccc(COC(=O)O)cc1.COc1cc2c(cc1OCCCCCOc1cc3c(cc1OC)C(=O)N1C=C(C)C[C@H]1[C@H](O)N3)N=C[C@@H]1CC(C)=CN1C2=O,no,ADCpedia
mmae__mc-val-cit-pab__02,MMAE,auristatin,cysteine,ValCitPAB,MC-Val-Cit-PAB,cysteine,cysteine,passed,51,46,35,9,51,35,succinimide_thioether_4c,True,True,True,C[C@@H](C)C(NC(=O)CSCCC(=O)N1CN(C(=O)CCS)CN(C(=O)CCS)C1)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc2ccc(COC(=O)O)cc2,CC(C)[C@H](NC)C(N[C@H](C(N([C@@H]([C@@H](C)CC)[C@@H](CC(N1CCC[C@@]1([H])[C@H](OC)[C@@H](C)C(N[C@H](C)[C@H](C2=CC=CC=C2)O)=O)=O)OC)C)=O)C(C)C)=O,CC(C)C(NC(=O)CSCCC(=O)N1CN(C(=O)CCS)CN(C(=O)CCS)C1)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)O)cc1.CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)c1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,no,ADCpedia
tubulysin-derivative__mcc,Tubulysin derivative,tubulysin,lysine,non-cleavable_MCC,MCC,cysteine,lysine,passed,41,32,4,16,41,4,amide,False,True,True,NCCCNC(=O)CCCCCN1C(=O)CC(S)C1=O,CO/C1=C/C[C@@H]([C@@H](C)/C=C(C)/C=C\C=C/C(=O)NC(C(=O)N/C=C\C[C@H](C/C=C(C)/Cl)OC(=O)O)[C@](C)(C)C)OC1=O,NCCCNC(=O)CCCCCN1C(=O)CC(S)C1=O.COC1=CC[C@@H]([C@@H](C)/C=C(C)/C=C\C=C/C(=O)NC(C(=O)N/C=C\C[C@H](C/C=C(\C)Cl)OC(=O)O)C(C)(C)C)OC1=O,no,ADCpedia
mmaf__mc-leu-gly-arg,MMAF,auristatin,cysteine,other,Mc-Leu-Gly-Arg,cysteine,cysteine,passed,37,35,21,9,37,21,succinimide_thioether_4c,False,True,True,CC(C)[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)O,CC[C@H](C)[C@H](NC)[C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)NC(Cc2ccccc2)C(=O)O)OC,CC(C)[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)O.CC[C@H](C)[C@H](NC)[C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)NC(Cc1ccccc1)C(=O)O)OC,no,ADCpedia
mmae__mc-val-cit-pab__03,MMAE,auristatin,cysteine,ValCitPAB,MC-Val-Cit-PAB,Cysteine,cysteine,passed,51,46,35,9,51,35,succinimide_thioether_4c,True,True,True,CC(C)[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc2ccc(COC(=O)O)cc2,CC(C)[C@H](NC)C(N[C@H](C(N([C@@H]([C@@H](C)CC)[C@@H](CC(N1CCC[C@@]1([H])[C@H](OC)[C@@H](C)C(N[C@H](C)[C@H](C2=CC=CC=C2)O)=O)=O)OC)C)=O)C(C)C)=O,CC(C)[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)O)cc1.CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)c1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,no,ADCpedia
mmae__mc-val-cit-pab__04,MMAE,auristatin,cysteine,ValCitPAB,MC-Val-Cit-PAB,cysteine,cysteine,passed,51,46,35,9,51,35,succinimide_thioether_4c,True,True,True,CC(C)[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc2ccc(COC(=O)O)cc2,CC[C@H](C)[C@@H](C(CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)c2ccccc2)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,CC(C)[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)O)cc1.CC[C@H](C)[C@@H](C(CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)c1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC)C(C)C)C(C)C,no,ADCpedia
pbd-dimer__mc-val-cit-pab,PBD dimer,PBD_anthracycline,cysteine,ValCitPAB,MC-Val-Cit-PAB,cysteine,cysteine,flagged,47,29,25,9,47,25,succinimide_thioether_4c,True,True,True,CC(C)[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](C)C(=O)Nc2ccccc2,*/C7=C/N6C(=O)c5cc(OC)c(OCCCOc4cc3/N=C\[C@]2([H])C/C(c1ccc(OC)cc1)=C\N2C(=O)c3cc4OC)cc5/N=C\[C@]6([H])C7,CC(C)[C@H](NC(=O)CCCCCN1C(=O)CC(S)C1=O)C(=O)N[C@@H](C)C(=O)Nc1ccccc1.*C1=CN2C(=O)c3cc(OC)c(OCCCOc4cc5c(cc4OC)C(=O)N4C=C(c6ccc(OC)cc6)C[C@H]4C=N5)cc3N=C[C@@H]2C1,no,ADCpedia
