config,cohort,n,not_parsed,disconnected,mmff_fail,no_adc_motif,usable,not_parsed_pct,disconnected_pct,mmff_fail_pct,no_adc_motif_pct,usable_pct
curriculum851,rebaseline_n500,500,0,396,3,58,43,0.00,79.20,0.60,11.60,8.60
multisite884_base,rebaseline_n500,500,0,300,3,173,24,0.00,60.00,0.60,34.60,4.80
h4_lambda0.01,rebaseline_n500,500,0,334,2,113,51,0.00,66.80,0.40,22.60,10.20
h4_lambda0_control,rebaseline_n500,500,0,423,1,53,23,0.00,84.60,0.20,10.60,4.60
lambda0.1,per_n200,200,0,126,1,55,18,0.00,63.00,0.50,27.50,9.00
lambda1.0,per_n200,200,0,136,1,38,25,0.00,68.00,0.50,19.00,12.50
lambda10,per_n200,200,0,157,1,28,14,0.00,78.50,0.50,14.00,7.00
lambda10_strict,per_n200,200,0,154,1,34,11,0.00,77.00,0.50,17.00,5.50
final_best,deliverable,500,0,309,2,141,48,0.00,61.80,0.40,28.20,9.60
ALL_POOLED,all,3300,0,2335,15,693,257,0.00,70.76,0.45,21.00,7.79
